keyword,count
제주,7200
제주도,3372
맛집,3253
여행,2045
카페,1889
추천,1165
서귀포,1010
오름,539
애월,538
돼지,532
캠핑,459
코스,440
그램,413
해수욕장,410
중문,375
해변,340
갈치,331
스타,328
아이,312
숙소,311
산방산,299
성산,281
가족,260
일상,256
동쪽,251
공항,250
여름,245
함덕,245
근처,243
시장,237
데이트,231
바다,222
호텔,222
서쪽,220
사진,219
성산일출봉,216
관광,208
투어,207
관광지,202
제주시,202
조림,197
펜션,195
체험,194
여행지,190
스누피,185
협재,180
휴가,177
아기,177
명소,175
파크,169
